Quizzer: [21:23:43] [34m[INFO][0m [<asynchronous suspension>] QuizzerLogger initialized with level: FINE. Logging to: runtime_cache\quizzer_log.txt
Quizzer: [21:23:43] [33m[WARNING][0m [#2      _QuizzerAppState.build (package:quizzer/main.dart:235)] _QuizzerAppState: BUILD CALLED. _criticalError is: null
Quizzer: [21:23:59] [34m[INFO][0m [#2      initializeDatabase (package:quizzer/backend_systems/00_database_manager/platform/database_native.dart:18)] Using sqflite FFI factory (Desktop)
Quizzer: [21:23:59] [34m[INFO][0m [#2      initializeDatabase (package:quizzer/backend_systems/00_database_manager/platform/database_native.dart:27)] Desktop SQLite directory ensured: C:\Quizzer\quizzer\build\windows\x64\runner\Release\runtime_cache\sqlite
Quizzer: [21:23:59] [34m[INFO][0m [#2      initializeDatabase (package:quizzer/backend_systems/00_database_manager/platform/database_native.dart:40)] Target Database path: C:\Quizzer\quizzer\build\windows\x64\runner\Release\runtime_cache\sqlite\quizzer.db
Quizzer: [21:23:59] [34m[INFO][0m [#2      initializeDatabase (package:quizzer/backend_systems/00_database_manager/platform/database_native.dart:64)] Existing database found at C:\Quizzer\quizzer\build\windows\x64\runner\Release\runtime_cache\sqlite\quizzer.db. Using it.
Quizzer: [21:23:59] [34m[INFO][0m [#2      initializeDatabase (package:quizzer/backend_systems/00_database_manager/platform/database_native.dart:85)] SUCCESS: Database initialized successfully at: C:\Quizzer\quizzer\build\windows\x64\runner\Release\runtime_cache\sqlite\quizzer.db
Quizzer: [21:23:59] [34m[INFO][0m [#2      getUserIdByEmail (package:quizzer/backend_systems/00_database_manager/tables/user_profile/user_profile_table.dart:16)] Getting user ID for email: msaad.aidevisor@gmail.com
Quizzer: [21:23:59] [34m[INFO][0m [#2      verifyUserProfileTable (package:quizzer/backend_systems/00_database_manager/tables/user_profile/user_profile_table.dart:99)] Verifying user profile table existence
Quizzer: [21:23:59] [34m[INFO][0m [#2      verifyTutorialProgressColumn (package:quizzer/backend_systems/00_database_manager/tables/user_profile/user_profile_table.dart:181)] Verifying tutorial_progress column existence
Quizzer: [21:23:59] [34m[INFO][0m [#2      verifyTutorialProgressColumn (package:quizzer/backend_systems/00_database_manager/tables/user_profile/user_profile_table.dart:201)] tutorial_progress column already exists
Quizzer: [21:23:59] [31m[ERROR][0m [#2      getUserIdByEmail (package:quizzer/backend_systems/00_database_manager/tables/user_profile/user_profile_table.dart:34)] No user found with email:
Quizzer: [21:23:59] [33m[WARNING][0m [#2      addLoginAttemptRecord (package:quizzer/backend_systems/00_database_manager/tables/login_attempts_table.dart:76)] Failed to record login attempt for email "msaad.aidevisor@gmail.com": User email not found in local user_profile table. No login attempt will be recorded.
Quizzer: [21:23:59] [34m[INFO][0m [#2      recordLoginAttempt (package:quizzer/backend_systems/02_login_authentication/login_attempts_record.dart:39)] Login attempt recorded for user: msaad.aidevisor@gmail.com with status: Invalid login credentials
Quizzer: [21:23:59] [34m[INFO][0m [#2      DatabaseMonitor.releaseDatabaseAccess (package:quizzer/backend_systems/00_database_manager/database_monitor.dart:44)] Database Lock Released!
Quizzer: [21:23:59] [34m[INFO][0m [#2      DatabaseMonitor.releaseDatabaseAccess (package:quizzer/backend_systems/00_database_manager/database_monitor.dart:53)] Database lock released
Quizzer: [21:24:42] [34m[INFO][0m [#2      _LoginPageState.newUserSignUp (package:quizzer/UI_systems/00_login_page/login_page.dart:102)] Navigating to new user page
Quizzer: [21:25:54] [34m[INFO][0m [#2      validateEmail (package:quizzer/UI_systems/01_new_user_page/new_user_page_field_validation.dart:4)] Validating email: msaad.aidevisor@gmail.com
Quizzer: [21:25:54] [34m[INFO][0m [#2      validateEmail (package:quizzer/UI_systems/01_new_user_page/new_user_page_field_validation.dart:28)] SUCCESS: Email validation passed
Quizzer: [21:25:54] [34m[INFO][0m [#2      validateUsername (package:quizzer/UI_systems/01_new_user_page/new_user_page_field_validation.dart:33)] Validating username: Saad46
Quizzer: [21:25:54] [34m[INFO][0m [#2      validateUsername (package:quizzer/UI_systems/01_new_user_page/new_user_page_field_validation.dart:52)] SUCCESS: Username validation passed
Quizzer: [21:25:54] [34m[INFO][0m [#2      validatePassword (package:quizzer/UI_systems/01_new_user_page/new_user_page_field_validation.dart:57)] Validating password
Quizzer: [21:25:54] [33m[WARNING][0m [#2      validatePassword (package:quizzer/UI_systems/01_new_user_page/new_user_page_field_validation.dart:72)] Password validation failed: Missing required characters
Quizzer: [21:26:14] [34m[INFO][0m [#2      validateEmail (package:quizzer/UI_systems/01_new_user_page/new_user_page_field_validation.dart:4)] Validating email: msaad.aidevisor@gmail.com
Quizzer: [21:26:14] [34m[INFO][0m [#2      validateEmail (package:quizzer/UI_systems/01_new_user_page/new_user_page_field_validation.dart:28)] SUCCESS: Email validation passed
Quizzer: [21:26:14] [34m[INFO][0m [#2      validateUsername (package:quizzer/UI_systems/01_new_user_page/new_user_page_field_validation.dart:33)] Validating username: Saad46
Quizzer: [21:26:14] [34m[INFO][0m [#2      validateUsername (package:quizzer/UI_systems/01_new_user_page/new_user_page_field_validation.dart:52)] SUCCESS: Username validation passed
Quizzer: [21:26:14] [34m[INFO][0m [#2      validatePassword (package:quizzer/UI_systems/01_new_user_page/new_user_page_field_validation.dart:57)] Validating password
Quizzer: [21:26:14] [33m[WARNING][0m [#2      validatePassword (package:quizzer/UI_systems/01_new_user_page/new_user_page_field_validation.dart:64)] Password validation failed: Too short
Quizzer: [21:26:40] [34m[INFO][0m [#2      validateEmail (package:quizzer/UI_systems/01_new_user_page/new_user_page_field_validation.dart:4)] Validating email: msaad.aidevisor@gmail.com
Quizzer: [21:26:40] [34m[INFO][0m [#2      validateEmail (package:quizzer/UI_systems/01_new_user_page/new_user_page_field_validation.dart:28)] SUCCESS: Email validation passed
Quizzer: [21:26:40] [34m[INFO][0m [#2      validateUsername (package:quizzer/UI_systems/01_new_user_page/new_user_page_field_validation.dart:33)] Validating username: Saad46
Quizzer: [21:26:40] [34m[INFO][0m [#2      validateUsername (package:quizzer/UI_systems/01_new_user_page/new_user_page_field_validation.dart:52)] SUCCESS: Username validation passed
Quizzer: [21:26:40] [34m[INFO][0m [#2      validatePassword (package:quizzer/UI_systems/01_new_user_page/new_user_page_field_validation.dart:57)] Validating password
Quizzer: [21:26:40] [34m[INFO][0m [#2      validatePassword (package:quizzer/UI_systems/01_new_user_page/new_user_page_field_validation.dart:76)] SUCCESS: Password validation passed
Quizzer: [21:26:40] [34m[INFO][0m [#2      handleNewUserProfileCreation (package:quizzer/backend_systems/03_account_creation/new_user_signup.dart:43)] Starting new user profile creation process
Quizzer: [21:26:40] [34m[INFO][0m [#2      handleNewUserProfileCreation (package:quizzer/backend_systems/03_account_creation/new_user_signup.dart:44)] Email: msaad.aidevisor@gmail.com
Quizzer: [21:26:40] [34m[INFO][0m [#2      DatabaseMonitor.requestDatabaseAccess (package:quizzer/backend_systems/00_database_manager/database_monitor.dart:33)] Database access granted with lock
Quizzer: [21:26:40] [34m[INFO][0m [#2      verifyNonDuplicateProfile (package:quizzer/backend_systems/00_database_manager/tables/user_profile/user_profile_table.dart:209)] Verifying non-duplicate profile for email: msaad.aidevisor@gmail.com, username: Saad46
Quizzer: [21:26:40] [34m[INFO][0m [#2      verifyUserProfileTable (package:quizzer/backend_systems/00_database_manager/tables/user_profile/user_profile_table.dart:99)] Verifying user profile table existence
Quizzer: [21:26:40] [34m[INFO][0m [#2      verifyTutorialProgressColumn (package:quizzer/backend_systems/00_database_manager/tables/user_profile/user_profile_table.dart:181)] Verifying tutorial_progress column existence
Quizzer: [21:26:40] [34m[INFO][0m [#2      verifyNonDuplicateProfile (package:quizzer/backend_systems/00_database_manager/tables/user_profile/user_profile_table.dart:224)] SUCCESS: Email and username are available
Quizzer: [21:26:40] [34m[INFO][0m [#2      DatabaseMonitor.releaseDatabaseAccess (package:quizzer/backend_systems/00_database_manager/database_monitor.dart:44)] Database Lock Released!
Quizzer: [21:26:40] [34m[INFO][0m [#2      DatabaseMonitor.releaseDatabaseAccess (package:quizzer/backend_systems/00_database_manager/database_monitor.dart:53)] Database lock released
Quizzer: [21:26:40] [34m[INFO][0m [#2      verifyTutorialProgressColumn (package:quizzer/backend_systems/00_database_manager/tables/user_profile/user_profile_table.dart:201)] tutorial_progress column already exists
Quizzer: [21:26:41] [36m[DEBUG][0m Saving session
Quizzer: [21:26:41] [34m[INFO][0m [#2      createLocalUserProfile (package:quizzer/backend_systems/03_account_creation/new_user_signup.dart:11)] Starting local user profile creation
Quizzer: [21:26:41] [34m[INFO][0m [#2      createLocalUserProfile (package:quizzer/backend_systems/03_account_creation/new_user_signup.dart:12)] Email: msaad.aidevisor@gmail.com, Username: Saad46
Quizzer: [21:26:41] [34m[INFO][0m [#2      DatabaseMonitor.requestDatabaseAccess (package:quizzer/backend_systems/00_database_manager/database_monitor.dart:33)] Database access granted with lock
Quizzer: [21:26:41] [34m[INFO][0m [#2      createLocalUserProfile (package:quizzer/backend_systems/03_account_creation/new_user_signup.dart:23)] Database access granted
Quizzer: [21:26:41] [34m[INFO][0m [#2      createNewUserProfile (package:quizzer/backend_systems/00_database_manager/tables/user_profile/user_profile_table.dart:40)] Creating new user profile for email: msaad.aidevisor@gmail.com, username: Saad46
Quizzer: [21:26:41] [34m[INFO][0m [#2      verifyUserProfileTable (package:quizzer/backend_systems/00_database_manager/tables/user_profile/user_profile_table.dart:99)] Verifying user profile table existence
Quizzer: [21:26:41] [34m[INFO][0m [#2      verifyTutorialProgressColumn (package:quizzer/backend_systems/00_database_manager/tables/user_profile/user_profile_table.dart:181)] Verifying tutorial_progress column existence
Quizzer: [21:26:41] [34m[INFO][0m [#2      verifyTutorialProgressColumn (package:quizzer/backend_systems/00_database_manager/tables/user_profile/user_profile_table.dart:201)] tutorial_progress column already exists
Quizzer: [21:26:41] [34m[INFO][0m [#2      createNewUserProfile (package:quizzer/backend_systems/00_database_manager/tables/user_profile/user_profile_table.dart:46)] SUCCESS: User registered with Supabase
Quizzer: [21:26:41] [34m[INFO][0m [#2      verifyNonDuplicateProfile (package:quizzer/backend_systems/00_database_manager/tables/user_profile/user_profile_table.dart:209)] Verifying non-duplicate profile for email: msaad.aidevisor@gmail.com, username: Saad46
Quizzer: [21:26:41] [34m[INFO][0m [#2      verifyUserProfileTable (package:quizzer/backend_systems/00_database_manager/tables/user_profile/user_profile_table.dart:99)] Verifying user profile table existence
Quizzer: [21:26:41] [34m[INFO][0m [#2      verifyTutorialProgressColumn (package:quizzer/backend_systems/00_database_manager/tables/user_profile/user_profile_table.dart:181)] Verifying tutorial_progress column existence
Quizzer: [21:26:41] [34m[INFO][0m [#2      verifyNonDuplicateProfile (package:quizzer/backend_systems/00_database_manager/tables/user_profile/user_profile_table.dart:224)] SUCCESS: Email and username are available
Quizzer: [21:26:41] [34m[INFO][0m [#2      generateUserUUID (package:quizzer/backend_systems/00_database_manager/tables/user_profile/user_profile_table.dart:92)] Generated new UUID: 807ee3e9-2f8c-4d33-8976-810191df9b02
Quizzer: [21:26:41] [34m[INFO][0m [#2      createNewUserProfile (package:quizzer/backend_systems/00_database_manager/tables/user_profile/user_profile_table.dart:59)] Generated UUID for new user: 807ee3e9-2f8c-4d33-8976-810191df9b02
Quizzer: [21:26:41] [34m[INFO][0m [#2      verifyTutorialProgressColumn (package:quizzer/backend_systems/00_database_manager/tables/user_profile/user_profile_table.dart:201)] tutorial_progress column already exists
Quizzer: [21:26:41] [34m[INFO][0m [#2      createNewUserProfile (package:quizzer/backend_systems/00_database_manager/tables/user_profile/user_profile_table.dart:80)] SUCCESS: New user profile created successfully: 807ee3e9-2f8c-4d33-8976-810191df9b02
Quizzer: [21:26:41] [34m[INFO][0m [#2      DatabaseMonitor.releaseDatabaseAccess (package:quizzer/backend_systems/00_database_manager/database_monitor.dart:44)] Database Lock Released!
Quizzer: [21:26:41] [34m[INFO][0m [#2      DatabaseMonitor.releaseDatabaseAccess (package:quizzer/backend_systems/00_database_manager/database_monitor.dart:53)] Database lock released
Quizzer: [21:26:41] [34m[INFO][0m [#2      createLocalUserProfile (package:quizzer/backend_systems/03_account_creation/new_user_signup.dart:33)] Database access released
Quizzer: [21:26:51] [34m[INFO][0m [#2      _LoginPageState.submitLogin (package:quizzer/UI_systems/00_login_page/login_page.dart:61)] Login attempt for: msaad.aidevisor@gmail.com
Quizzer: [21:26:51] [34m[INFO][0m [#2      SessionManager.attemptLogin (package:quizzer/backend_systems/session_manager/session_manager.dart:347)] Logging in user with email: msaad.aidevisor@gmail.com
Quizzer: [21:26:51] [34m[INFO][0m [#2      userAuth (package:quizzer/backend_systems/02_login_authentication/user_auth.dart:142)] User authentication requested for msaad.aidevisor@gmail.com
Quizzer: [21:26:51] [34m[INFO][0m [#2      _attemptSupabaseLogin (package:quizzer/backend_systems/02_login_authentication/user_auth.dart:72)] Attempting Supabase authentication for msaad.aidevisor@gmail.com
Quizzer: [21:26:51] [34m[INFO][0m [#2      _attemptSupabaseLogin (package:quizzer/backend_systems/02_login_authentication/user_auth.dart:74)] Attempting Supabase authentication
Quizzer: [21:26:51] [36m[DEBUG][0m Saving session
Quizzer: [21:26:51] [34m[INFO][0m [#2      _attemptSupabaseLogin (package:quizzer/backend_systems/02_login_authentication/user_auth.dart:80)] SUCCESS: Supabase authentication successful for msaad.aidevisor@gmail.com
Quizzer: [21:26:51] [36m[DEBUG][0m [#2      determineUserRoleFromSupabaseSession (package:quizzer/backend_systems/session_manager/session_helper.dart:211)] Access Token: [REDACTED]
Quizzer: [21:26:51] [36m[DEBUG][0m [#2      determineUserRoleFromSupabaseSession (package:quizzer/backend_systems/session_manager/session_helper.dart:223)] Decoded JWT Token Payload (Redacted): {aal: aal1, amr: [{method: password, timestamp: 1747931211}], app_metadata: {provider: email, providers: [email]}, aud: authenticated, email: [REDACTED], exp: 1747934811, iat: 1747931211, is_anonymous: false, iss: https://yruvxuvzztnahuuiqxit.supabase.co/auth/v1, phone: , role: authenticated, session_id: [REDACTED], sub: [REDACTED], user_metadata: [REDACTED], user_role: null}
Quizzer: [21:26:51] [33m[WARNING][0m [#2      determineUserRoleFromSupabaseSession (package:quizzer/backend_systems/session_manager/session_helper.dart:230)] 'user_role' claim not found or empty in decoded JWT, defaulting to "public_user_unverified".
Quizzer: [21:26:51] [34m[INFO][0m [#2      _handleSuccessfulSupabaseLogin (package:quizzer/backend_systems/02_login_authentication/user_auth.dart:48)] Handling successful Supabase login for msaad.aidevisor@gmail.com
Quizzer: [21:26:51] [34m[INFO][0m [#2      _handleSuccessfulSupabaseLogin (package:quizzer/backend_systems/02_login_authentication/user_auth.dart:60)] Stored last login (2025-05-22T16:26:51.42591989Z) and token for msaad.aidevisor@gmail.com
Quizzer: [21:26:51] [34m[INFO][0m [#2      _ensureLocalProfileExists (package:quizzer/backend_systems/02_login_authentication/user_auth.dart:106)] Ensuring local profile exists for msaad.aidevisor@gmail.com
Quizzer: [21:26:51] [34m[INFO][0m [#2      DatabaseMonitor.requestDatabaseAccess (package:quizzer/backend_systems/00_database_manager/database_monitor.dart:33)] Database access granted with lock
Quizzer: [21:26:51] [34m[INFO][0m [#2      getAllUserEmails (package:quizzer/backend_systems/00_database_manager/tables/user_profile/user_profile_table.dart:508)] Fetching all emails from user_profile table.
Quizzer: [21:26:51] [34m[INFO][0m [#2      verifyUserProfileTable (package:quizzer/backend_systems/00_database_manager/tables/user_profile/user_profile_table.dart:99)] Verifying user profile table existence
Quizzer: [21:26:51] [34m[INFO][0m [#2      verifyTutorialProgressColumn (package:quizzer/backend_systems/00_database_manager/tables/user_profile/user_profile_table.dart:181)] Verifying tutorial_progress column existence
Quizzer: [21:26:51] [34m[INFO][0m [#2      verifyTutorialProgressColumn (package:quizzer/backend_systems/00_database_manager/tables/user_profile/user_profile_table.dart:201)] tutorial_progress column already exists
Quizzer: [21:26:51] [34m[INFO][0m [#2      getAllUserEmails (package:quizzer/backend_systems/00_database_manager/tables/user_profile/user_profile_table.dart:527)] SUCCESS: Successfully fetched 3 emails.
Quizzer: [21:26:51] [34m[INFO][0m [#2      _ensureLocalProfileExists (package:quizzer/backend_systems/02_login_authentication/user_auth.dart:124)] Is user in list -> true
Quizzer: [21:26:51] [34m[INFO][0m [#2      getAllUserEmails (package:quizzer/backend_systems/00_database_manager/tables/user_profile/user_profile_table.dart:508)] Fetching all emails from user_profile table.
Quizzer: [21:26:51] [34m[INFO][0m [#2      verifyUserProfileTable (package:quizzer/backend_systems/00_database_manager/tables/user_profile/user_profile_table.dart:99)] Verifying user profile table existence
Quizzer: [21:26:51] [34m[INFO][0m [#2      verifyTutorialProgressColumn (package:quizzer/backend_systems/00_database_manager/tables/user_profile/user_profile_table.dart:181)] Verifying tutorial_progress column existence
Quizzer: [21:26:51] [34m[INFO][0m [#2      verifyTutorialProgressColumn (package:quizzer/backend_systems/00_database_manager/tables/user_profile/user_profile_table.dart:201)] tutorial_progress column already exists
Quizzer: [21:26:51] [34m[INFO][0m [#2      getAllUserEmails (package:quizzer/backend_systems/00_database_manager/tables/user_profile/user_profile_table.dart:527)] SUCCESS: Successfully fetched 3 emails.
Quizzer: [21:26:51] [34m[INFO][0m [#2      _ensureLocalProfileExists (package:quizzer/backend_systems/02_login_authentication/user_auth.dart:129)] Is user in list -> true
Quizzer: [21:26:51] [34m[INFO][0m [#2      DatabaseMonitor.releaseDatabaseAccess (package:quizzer/backend_systems/00_database_manager/database_monitor.dart:44)] Database Lock Released!
Quizzer: [21:26:51] [34m[INFO][0m [#2      DatabaseMonitor.releaseDatabaseAccess (package:quizzer/backend_systems/00_database_manager/database_monitor.dart:53)] Database lock released
Quizzer: [21:26:51] [34m[INFO][0m [#2      recordLoginAttempt (package:quizzer/backend_systems/02_login_authentication/login_attempts_record.dart:18)] Recording login Attempt msaad.aidevisor@gmail.com with result Login successful
Quizzer: [21:26:51] [34m[INFO][0m [#2      DatabaseMonitor.requestDatabaseAccess (package:quizzer/backend_systems/00_database_manager/database_monitor.dart:33)] Database access granted with lock
Quizzer: [21:26:51] [34m[INFO][0m [#2      getUserIdByEmail (package:quizzer/backend_systems/00_database_manager/tables/user_profile/user_profile_table.dart:16)] Getting user ID for email: msaad.aidevisor@gmail.com
Quizzer: [21:26:51] [34m[INFO][0m [#2      verifyUserProfileTable (package:quizzer/backend_systems/00_database_manager/tables/user_profile/user_profile_table.dart:99)] Verifying user profile table existence
Quizzer: [21:26:51] [34m[INFO][0m [#2      verifyTutorialProgressColumn (package:quizzer/backend_systems/00_database_manager/tables/user_profile/user_profile_table.dart:181)] Verifying tutorial_progress column existence
Quizzer: [21:26:51] [34m[INFO][0m [#2      verifyTutorialProgressColumn (package:quizzer/backend_systems/00_database_manager/tables/user_profile/user_profile_table.dart:201)] tutorial_progress column already exists
Quizzer: [21:26:51] [34m[INFO][0m [#2      getUserIdByEmail (package:quizzer/backend_systems/00_database_manager/tables/user_profile/user_profile_table.dart:28)] SUCCESS: Found user ID: 807ee3e9-2f8c-4d33-8976-810191df9b02
Quizzer: [21:26:51] [34m[INFO][0m [#2      getUserIpAddress (package:quizzer/backend_systems/00_database_manager/tables/table_helper.dart:244)] Attempting to get IP address from dnsleaktest.com
Quizzer: [21:26:52] [34m[INFO][0m [#2      getUserIpAddress (package:quizzer/backend_systems/00_database_manager/tables/table_helper.dart:261)] SUCCESS: Successfully retrieved IP address: 111.68.103.90
Quizzer: [21:26:52] [34m[INFO][0m [#2      addLoginAttemptRecord (package:quizzer/backend_systems/00_database_manager/tables/login_attempts_table.dart:117)] Login attempt recorded successfully: 2025-05-22T16:26:52.964472Z807ee3e9-2f8c-4d33-8976-810191df9b02
Quizzer: [21:26:52] [34m[INFO][0m [#2      recordLoginAttempt (package:quizzer/backend_systems/02_login_authentication/login_attempts_record.dart:39)] Login attempt recorded for user: msaad.aidevisor@gmail.com with status: Login successful
Quizzer: [21:26:52] [34m[INFO][0m [#2      DatabaseMonitor.releaseDatabaseAccess (package:quizzer/backend_systems/00_database_manager/database_monitor.dart:44)] Database Lock Released!
Quizzer: [21:26:52] [34m[INFO][0m [#2      DatabaseMonitor.releaseDatabaseAccess (package:quizzer/backend_systems/00_database_manager/database_monitor.dart:53)] Database lock released
Quizzer: [21:26:52] [34m[INFO][0m [#2      initializeSession (package:quizzer/backend_systems/session_manager/session_isolates.dart:9)] Recorded email to log in. . .: msaad.aidevisor@gmail.com
Quizzer: [21:26:52] [34m[INFO][0m [#2      DatabaseMonitor.requestDatabaseAccess (package:quizzer/backend_systems/00_database_manager/database_monitor.dart:33)] Database access granted with lock
Quizzer: [21:26:52] [34m[INFO][0m [#2      initializeSession (package:quizzer/backend_systems/session_manager/session_isolates.dart:14)] Database access granted
Quizzer: [21:26:52] [34m[INFO][0m [#2      getUserIdByEmail (package:quizzer/backend_systems/00_database_manager/tables/user_profile/user_profile_table.dart:16)] Getting user ID for email: msaad.aidevisor@gmail.com
Quizzer: [21:26:52] [34m[INFO][0m [#2      verifyUserProfileTable (package:quizzer/backend_systems/00_database_manager/tables/user_profile/user_profile_table.dart:99)] Verifying user profile table existence
Quizzer: [21:26:52] [34m[INFO][0m [#2      verifyTutorialProgressColumn (package:quizzer/backend_systems/00_database_manager/tables/user_profile/user_profile_table.dart:181)] Verifying tutorial_progress column existence
Quizzer: [21:26:52] [34m[INFO][0m [#2      verifyTutorialProgressColumn (package:quizzer/backend_systems/00_database_manager/tables/user_profile/user_profile_table.dart:201)] tutorial_progress column already exists
Quizzer: [21:26:52] [34m[INFO][0m [#2      getUserIdByEmail (package:quizzer/backend_systems/00_database_manager/tables/user_profile/user_profile_table.dart:28)] SUCCESS: Found user ID: 807ee3e9-2f8c-4d33-8976-810191df9b02
Quizzer: [21:26:52] [34m[INFO][0m [#2      initializeSession (package:quizzer/backend_systems/session_manager/session_isolates.dart:18)] SUCCESS: Session initialized with userId: 807ee3e9-2f8c-4d33-8976-810191df9b02
Quizzer: [21:26:52] [34m[INFO][0m [#2      DatabaseMonitor.releaseDatabaseAccess (package:quizzer/backend_systems/00_database_manager/database_monitor.dart:44)] Database Lock Released!
Quizzer: [21:26:52] [34m[INFO][0m [#2      DatabaseMonitor.releaseDatabaseAccess (package:quizzer/backend_systems/00_database_manager/database_monitor.dart:53)] Database lock released
Quizzer: [21:26:52] [34m[INFO][0m [#2      DatabaseMonitor.requestDatabaseAccess (package:quizzer/backend_systems/00_database_manager/database_monitor.dart:33)] Database access granted with lock
Quizzer: [21:26:52] [34m[INFO][0m [#2      SessionManager._initializeLogin (package:quizzer/backend_systems/session_manager/session_manager.dart:253)] Stored initial profile last_modified_timestamp: null
Quizzer: [21:26:52] [34m[INFO][0m [#2      DatabaseMonitor.releaseDatabaseAccess (package:quizzer/backend_systems/00_database_manager/database_monitor.dart:44)] Database Lock Released!
Quizzer: [21:26:52] [34m[INFO][0m [#2      DatabaseMonitor.releaseDatabaseAccess (package:quizzer/backend_systems/00_database_manager/database_monitor.dart:53)] Database lock released
Quizzer: [21:26:52] [34m[INFO][0m [#2      SessionManager._initializeLogin (package:quizzer/backend_systems/session_manager/session_manager.dart:257)] SessionManager: Starting MediaSyncWorker...
Quizzer: [21:26:52] [34m[INFO][0m [#2      new MediaSyncWorker._internal (package:quizzer/backend_systems/00_database_manager/cloud_sync_system/media_sync_worker.dart:25)] MediaSyncWorker initialized.
Quizzer: [21:26:52] [34m[INFO][0m [#2      MediaSyncWorker.start (package:quizzer/backend_systems/00_database_manager/cloud_sync_system/media_sync_worker.dart:44)] Entering MediaSyncWorker start()...
Quizzer: [21:26:52] [34m[INFO][0m [#2      MediaSyncWorker.start (package:quizzer/backend_systems/00_database_manager/cloud_sync_system/media_sync_worker.dart:52)] MediaSyncWorker: Subscribing to onMediaSyncStatusProcessed stream.
Quizzer: [21:26:52] [34m[INFO][0m [#2      MediaSyncWorker._runLoop (package:quizzer/backend_systems/00_database_manager/cloud_sync_system/media_sync_worker.dart:91)] Entering MediaSyncWorker _runLoop()...
Quizzer: [21:26:52] [34m[INFO][0m [#2      MediaSyncWorker._runLoop (package:quizzer/backend_systems/00_database_manager/cloud_sync_system/media_sync_worker.dart:98)] MediaSyncWorker: Checking for question pairs with NULL has_media status.
Quizzer: [21:26:52] [34m[INFO][0m [#2      DatabaseMonitor.requestDatabaseAccess (package:quizzer/backend_systems/00_database_manager/database_monitor.dart:33)] Database access granted with lock
Quizzer: [21:26:52] [34m[INFO][0m [#2      MediaSyncWorker.start (package:quizzer/backend_systems/00_database_manager/cloud_sync_system/media_sync_worker.dart:60)] MediaSyncWorker started and initial sync performed.
Quizzer: [21:26:52] [34m[INFO][0m [#2      processNullMediaStatusPairs (package:quizzer/backend_systems/00_database_manager/tables/question_answer_pairs_table.dart:957)] Starting to process pairs with NULL has_media status for direct update.
Quizzer: [21:26:52] [34m[INFO][0m [#2      getPairsWithNullMediaStatus (package:quizzer/backend_systems/00_database_manager/tables/question_answer_pairs_table.dart:940)] Fetching question-answer pairs with NULL has_media status...
Quizzer: [21:26:52] [34m[INFO][0m [#2      SessionManager._initializeLogin (package:quizzer/backend_systems/session_manager/session_manager.dart:260)] SessionManager: MediaSyncWorker started.
Quizzer: [21:26:52] [34m[INFO][0m [#2      SessionManager._initializeLogin (package:quizzer/backend_systems/session_manager/session_manager.dart:263)] SessionManager: Starting InboundSyncWorker...
Quizzer: [21:26:52] [34m[INFO][0m [#2      new InboundSyncWorker._internal (package:quizzer/backend_systems/00_database_manager/cloud_sync_system/inbound_sync/inbound_sync_worker.dart:20)] InboundSyncWorker initialized.
